Timestamp,temp_min,temp_max,temp_normal_min,temp_normal_max,rel_humidity
2018-01-01,4.8,9.3,-0.03103448275862055,4.875862068965517,79.75
2018-01-01,4.8,9.3,-0.03103448275862055,4.875862068965517,79.75
2018-01-02,4.3,6.4,-0.3,4.996551724137932,83.58
2018-01-03,5.4,10.7,0.31034482758620696,5.182758620689655,83.46
2018-01-04,4.8,12.4,-0.3517241379310346,5.027586206896552,90.5
2018-01-05,7.6,9.7,0.22068965517241387,5.182758620689656,88.42
2018-01-06,6.0,8.9,0.04137931034482762,5.372413793103449,93.38
2018-01-07,3.4,6.0,0.020689655172413765,4.899999999999999,93.54
2018-01-08,3.4,6.0,-0.8068965517241378,4.4,88.08
2018-01-09,3.2,7.9,-0.606896551724138,4.551724137931035,86.04
2018-01-10,4.8,9.1,0.36896551724137927,4.610344827586206,86.21
2018-01-11,4.5,9.5,-0.393103448275862,4.389655172413794,90.67
2018-01-12,3.3,7.3,-1.124137931034483,3.9862068965517246,90.42
2018-01-13,1.5,4.7,-1.9137931034482756,4.693103448275861,81.42
2018-01-14,-2.9,2.9,-1.896551724137931,4.075862068965518,88.46
2018-01-15,-3.5,6.2,-1.6275862068965514,3.5344827586206895,89.96
2018-01-16,3.1,7.1,-1.393103448275862,4.451724137931035,85.92
2018-01-17,0.3,4.3,-1.0310344827586209,4.458620689655173,78.17
2018-01-18,2.0,10.7,-1.010344827586207,4.131034482758621,79.54
2018-01-19,1.6,4.7,-0.789655172413793,3.8551724137931043,84.83
2018-01-20,0.2,2.8,-0.5206896551724138,3.9413793103448276,93.33
2018-01-21,0.3,3.8,-1.0655172413793101,4.103448275862069,86.88
2018-01-22,0.2,8.7,-1.5344827586206895,4.0344827586206895,95.54
2018-01-23,5.2,8.0,-1.3,3.8310344827586205,84.0
2018-01-24,7.6,10.8,-1.627586206896552,3.603448275862069,87.42
2018-01-25,7.0,10.3,-1.3413793103448277,4.372413793103449,87.63
2018-01-26,4.8,7.8,-1.9068965517241379,3.7551724137931033,93.46
2018-01-27,1.8,5.3,-1.4758620689655175,4.062068965517241,96.92
2018-01-28,4.3,7.1,-0.7206896551724139,4.586206896551724,90.5
2018-01-29,6.6,8.8,-0.7827586206896551,5.0103448275862075,89.25
2018-01-30,2.9,8.7,-1.6793103448275861,4.665517241379311,89.29
2018-01-31,3.2,8.0,-1.5758620689655172,4.1931034482758625,90.96
2018-02-01,1.1,4.4,-1.7535714285714283,4.046428571428572,86.21
2018-02-02,0.6,3.1,-1.6999999999999997,4.5,88.71
2018-02-03,0.5,3.3,-1.725,3.903571428571429,88.83
2018-02-04,-1.2,1.0,-1.4928571428571433,4.746428571428572,90.0
2018-02-05,-2.0,2.7,-1.6321428571428573,5.0249999999999995,85.5
2018-02-06,-3.0,3.3,-0.575,5.332142857142857,80.46
2018-02-07,-5.3,2.5,-0.5071428571428571,5.457142857142857,86.08
2018-02-08,-1.5,2.2,-0.9285714285714286,4.678571428571429,82.0
2018-02-09,-0.8,0.9,-2.2071428571428573,4.125,83.83
2018-02-10,0.0,2.2,-2.2964285714285717,3.5142857142857147,85.21
2018-02-11,0.2,3.0,-1.3928571428571428,3.557142857142857,87.13
2018-02-12,-1.8,3.5,-2.2464285714285714,3.8464285714285715,79.08
2018-02-13,-5.3,4.4,-3.307142857142857,3.632142857142857,71.33
2018-02-14,-7.4,5.3,-2.917857142857143,4.260714285714285,69.67
2018-02-15,-1.9,4.8,-2.2964285714285713,3.914285714285714,87.04
2018-02-16,-1.7,9.1,-2.8,4.685714285714286,83.71
2018-02-17,-2.7,0.9,-2.935714285714286,4.2821428571428575,95.25
2018-02-18,-5.1,4.5,-2.625,4.932142857142857,89.33
2018-02-19,-0.8,1.7,-2.228571428571428,5.014285714285713,76.92
2018-02-20,-1.8,3.8,-1.7714285714285716,6.05,76.83
2018-02-21,-2.5,4.5,-1.2464285714285717,5.850000000000001,68.21
2018-02-22,-3.3,3.3,-1.1785714285714286,5.8535714285714295,61.13
2018-02-23,-4.7,2.0,-1.1178571428571427,5.57857142857143,55.67
2018-02-24,-6.2,4.4,-1.7321428571428572,6.878571428571428,52.63
2018-02-25,-7.5,-0.4,-1.2321428571428572,6.464285714285715,45.29
2018-02-26,-9.3,-2.6,-0.5142857142857143,6.7821428571428575,52.75
2018-02-27,-12.7,-4.6,-0.5571428571428572,6.978571428571428,58.79
2018-02-28,-14.0,-2.7,0.6071428571428573,7.232142857142857,57.5
2018-03-01,-7.6,-0.4,0.01724137931034489,7.724137931034483,44.63
2018-03-02,-4.9,-0.8,0.6517241379310345,7.244827586206895,63.04
2018-03-03,-3.2,0.8,-0.5413793103448277,7.2344827586206915,93.04
2018-03-04,-0.8,10.8,-0.5965517241379309,7.548275862068967,87.92
2018-03-05,1.1,13.2,-0.6413793103448276,8.162068965517241,73.71
2018-03-06,-2.0,11.9,-0.3724137931034483,8.082758620689656,80.21
2018-03-07,2.9,8.7,-0.19655172413793107,8.689655172413794,82.29
2018-03-08,2.2,11.3,0.210344827586207,9.634482758620688,75.04
2018-03-09,2.9,9.5,1.3275862068965514,10.131034482758619,92.63
2018-03-10,6.4,11.8,1.1965517241379309,9.944827586206898,90.58
2018-03-11,6.0,13.3,0.9344827586206896,10.279310344827588,92.21
2018-03-12,7.9,11.7,0.25862068965517243,10.33448275862069,85.79
2018-03-13,5.2,8.2,0.34137931034482766,10.375862068965516,85.13
2018-03-14,4.0,12.1,0.5862068965517241,10.686206896551726,71.13
2018-03-15,0.3,9.6,0.6620689655172414,11.072413793103449,80.79
2018-03-16,3.2,12.0,1.641379310344828,11.517241379310345,83.92
2018-03-17,-3.4,5.0,1.1965517241379313,10.858620689655172,86.38
2018-03-18,-4.4,-1.8,1.2379310344827585,10.665517241379309,81.08
2018-03-19,-3.9,0.3,1.5517241379310345,9.89655172413793,68.96
2018-03-20,-7.3,2.4,1.1931034482758625,11.04137931034483,74.83
2018-03-21,-6.2,6.3,2.086206896551724,11.103448275862068,63.04
2018-03-22,-4.3,2.3,2.151724137931035,11.03793103448276,83.92
2018-03-23,-0.4,6.2,1.9931034482758623,10.506896551724138,92.29
2018-03-24,-1.5,11.3,2.320689655172414,11.606896551724141,75.21
2018-03-25,-3.2,13.7,2.7206896551724133,12.106896551724137,69.83
2018-03-26,0.8,11.4,2.8482758620689657,11.772413793103448,74.29
2018-03-27,1.1,11.4,2.117241379310345,12.279310344827588,82.88
2018-03-28,5.3,10.3,2.662068965517241,12.393103448275863,84.75
2018-03-29,1.3,10.1,3.2620689655172415,12.248275862068967,69.42
2018-03-30,-0.9,12.5,3.2517241379310344,13.462068965517245,83.46
2018-03-31,2.9,13.4,3.648275862068966,13.555172413793104,71.96
2018-04-01,4.1,9.1,3.113793103448275,13.848275862068965,82.79
2018-04-02,-0.4,14.6,2.6275862068965514,14.110344827586207,59.83
2018-04-03,10.7,19.2,4.041379310344827,14.0,42.75
2018-04-04,8.4,13.7,3.693103448275862,12.496551724137932,79.21
2018-04-05,0.8,10.6,2.8068965517241375,11.862068965517242,77.63
2018-04-06,-0.6,15.6,2.827586206896552,13.789655172413795,64.75
2018-04-07,1.6,25.2,3.227586206896551,14.486206896551723,52.92
2018-04-08,5.1,25.4,3.8275862068965516,14.25862068965517,56.08
2018-04-09,6.6,21.2,3.3448275862068964,13.858620689655174,67.71
2018-04-10,7.0,16.9,3.444827586206897,15.058620689655172,80.63
2018-04-11,4.0,18.8,3.9931034482758623,14.841379310344829,72.25
2018-04-12,7.4,19.3,3.972413793103448,13.934482758620689,71.25
2018-04-13,4.8,11.9,4.203448275862069,13.644827586206896,87.75
2018-04-14,3.4,19.8,3.7413793103448283,15.017241379310345,68.54
2018-04-15,10.2,19.3,4.127586206896551,16.162068965517243,75.13
2018-04-16,6.4,20.3,4.241379310344827,15.089655172413794,67.08
2018-04-17,4.6,23.4,4.575862068965517,14.675862068965518,60.79
2018-04-18,6.5,25.8,3.8965517241379306,15.113793103448277,56.79
2018-04-19,8.2,27.9,3.386206896551724,15.499999999999998,51.79
2018-04-20,7.7,27.8,3.072413793103448,16.30344827586207,52.5
2018-04-21,8.8,27.4,3.8034482758620687,17.56206896551724,59.71
2018-04-22,10.1,28.2,5.072413793103448,16.817241379310346,56.88
2018-04-23,11.9,21.2,4.1000000000000005,16.80689655172414,71.29
2018-04-24,8.8,20.7,4.693103448275862,17.682758620689658,66.0
2018-04-25,9.3,18.1,5.551724137931036,17.862068965517242,75.33
2018-04-26,5.6,14.8,6.041379310344827,17.093103448275862,63.17
2018-04-27,2.0,21.1,5.762068965517242,15.565517241379311,55.04
2018-04-28,8.2,17.1,5.489655172413793,16.417241379310347,61.46
2018-04-29,6.2,24.2,5.5551724137931044,17.655172413793103,79.75
2018-04-30,6.3,15.8,5.817241379310347,17.882758620689653,65.33
2018-05-01,2.5,13.7,6.793103448275861,17.27241379310345,62.83
2018-05-02,0.2,16.4,6.13103448275862,17.644827586206898,66.83
2018-05-03,7.1,19.4,5.917241379310345,17.237931034482756,65.08
2018-05-04,5.3,21.5,5.924137931034482,17.16896551724138,60.17
2018-05-05,8.5,24.0,6.272413793103447,17.720689655172414,55.63
2018-05-06,9.4,25.0,6.56551724137931,18.972413793103446,60.5
2018-05-07,8.4,25.6,7.403448275862069,19.196551724137933,56.79
2018-05-08,8.5,27.0,7.824137931034482,19.599999999999994,54.0
2018-05-09,9.0,26.3,7.731034482758622,19.437931034482755,60.54
2018-05-10,10.6,15.1,8.679310344827586,19.324137931034485,83.88
2018-05-11,6.6,21.0,8.386206896551723,19.09655172413793,75.21
2018-05-12,7.5,25.4,7.672413793103448,18.682758620689658,70.46
2018-05-13,13.0,17.5,7.868965517241379,18.52758620689655,91.46
2018-05-14,11.5,20.9,8.33448275862069,18.17241379310345,90.63
2018-05-15,8.3,21.8,7.275862068965516,18.610344827586204,71.71
2018-05-16,11.2,20.6,7.148275862068964,19.458620689655174,79.71
2018-05-17,7.9,19.4,8.010344827586207,19.655172413793103,72.58
2018-05-18,5.5,20.0,8.09655172413793,20.46206896551724,71.96
2018-05-19,5.3,20.2,8.3,19.96206896551724,68.21
2018-05-20,7.6,17.5,9.227586206896552,20.76206896551724,85.17
2018-05-21,9.6,24.7,9.682758620689656,20.662068965517243,72.58
2018-05-22,11.9,25.1,10.23103448275862,21.144827586206894,76.71
2018-05-23,13.5,24.4,9.644827586206896,20.637931034482754,83.29
2018-05-24,11.7,22.5,9.10689655172414,20.74137931034483,91.96
2018-05-25,12.2,26.0,9.382758620689655,22.099999999999998,80.29
2018-05-26,11.9,28.8,9.827586206896552,22.537931034482757,69.96
2018-05-27,14.2,27.9,10.696551724137931,21.658620689655173,85.25
2018-05-28,15.0,29.2,10.479310344827589,21.01034482758621,76.13
2018-05-29,14.5,21.9,9.455172413793104,20.23103448275862,82.33
2018-05-30,12.8,28.7,8.717241379310344,20.93793103448276,69.92
2018-05-31,15.3,27.5,8.727586206896552,20.94827586206896,77.79
2018-06-01,14.8,23.1,10.117241379310347,21.53103448275862,83.29
2018-06-02,14.2,24.2,11.003448275862068,22.99310344827586,79.92
2018-06-03,12.1,27.1,11.462068965517245,22.31034482758621,71.79
2018-06-04,13.6,28.6,11.006896551724136,20.417241379310347,69.29
2018-06-05,14.5,28.6,9.879310344827584,21.51034482758621,68.25
2018-06-06,15.4,28.0,10.582758620689654,21.2448275862069,75.42
2018-06-07,17.1,25.5,10.924137931034483,21.548275862068966,79.58
2018-06-08,17.0,26.6,10.789655172413791,21.806896551724137,84.96
2018-06-09,16.5,28.0,11.46551724137931,22.103448275862068,83.38
2018-06-10,15.8,29.2,11.051724137931034,22.61379310344828,75.38
2018-06-11,16.1,25.8,11.662068965517243,21.872413793103448,94.75
2018-06-12,14.1,18.1,11.079310344827586,21.358620689655176,95.67
2018-06-13,12.4,16.7,10.655172413793103,21.406896551724138,77.21
2018-06-14,11.8,21.7,11.158620689655171,22.28620689655173,70.04
2018-06-15,13.6,21.8,11.462068965517243,22.434482758620685,78.71
2018-06-16,14.3,26.6,10.83103448275862,21.689655172413797,67.46
2018-06-17,12.9,21.6,10.648275862068964,22.006896551724132,66.92
2018-06-18,13.4,22.0,11.606896551724137,22.893103448275866,68.04
2018-06-19,14.3,23.5,11.158620689655173,23.151724137931037,77.46
2018-06-20,13.3,30.2,11.920689655172412,22.77241379310345,71.5
2018-06-21,10.0,24.4,12.568965517241379,23.017241379310345,62.83
2018-06-22,8.1,18.4,12.20344827586207,22.86551724137931,62.63
2018-06-23,6.2,21.5,11.789655172413795,23.00689655172414,69.96
2018-06-24,9.3,22.0,11.558620689655172,23.23103448275862,67.13
2018-06-25,12.2,22.6,11.889655172413791,23.796551724137935,70.0
2018-06-26,10.6,26.9,12.77241379310345,24.489655172413794,68.54
2018-06-27,11.3,27.0,12.83448275862069,24.524137931034485,61.13
2018-06-28,11.3,27.5,13.36896551724138,23.93448275862069,60.25
