Date,Category,IncidntNum
06/01/2006 12:00:00 AM,ARSON,14
06/01/2006 12:00:00 AM,STOLEN PROPERTY,49
06/01/2006 12:00:00 AM,BURGLARY,600
06/01/2006 12:00:00 AM,VEHICLE THEFT,651
06/01/2006 12:00:00 AM,VANDALISM,602
06/01/2006 12:00:00 AM,LARCENY/THEFT,2272
07/01/2006 12:00:00 AM,ARSON,24
07/01/2006 12:00:00 AM,STOLEN PROPERTY,37
07/01/2006 12:00:00 AM,BURGLARY,656
07/01/2006 12:00:00 AM,VEHICLE THEFT,673
07/01/2006 12:00:00 AM,LARCENY/THEFT,2209
07/01/2006 12:00:00 AM,VANDALISM,660
08/01/2006 12:00:00 AM,LARCENY/THEFT,2408
08/01/2006 12:00:00 AM,BURGLARY,658
08/01/2006 12:00:00 AM,VEHICLE THEFT,687
08/01/2006 12:00:00 AM,STOLEN PROPERTY,47
08/01/2006 12:00:00 AM,ARSON,24
08/01/2006 12:00:00 AM,VANDALISM,687
09/01/2006 12:00:00 AM,VEHICLE THEFT,570
09/01/2006 12:00:00 AM,LARCENY/THEFT,2296
09/01/2006 12:00:00 AM,VANDALISM,672
09/01/2006 12:00:00 AM,BURGLARY,562
09/01/2006 12:00:00 AM,ARSON,27
09/01/2006 12:00:00 AM,STOLEN PROPERTY,44
10/01/2006 12:00:00 AM,ARSON,27
10/01/2006 12:00:00 AM,VEHICLE THEFT,628
10/01/2006 12:00:00 AM,BURGLARY,508
10/01/2006 12:00:00 AM,LARCENY/THEFT,2386
10/01/2006 12:00:00 AM,VANDALISM,664
10/01/2006 12:00:00 AM,STOLEN PROPERTY,48
11/01/2006 12:00:00 AM,BURGLARY,585
11/01/2006 12:00:00 AM,LARCENY/THEFT,2110
11/01/2006 12:00:00 AM,VANDALISM,560
11/01/2006 12:00:00 AM,ARSON,11
11/01/2006 12:00:00 AM,VEHICLE THEFT,604
11/01/2006 12:00:00 AM,STOLEN PROPERTY,33
12/01/2006 12:00:00 AM,VANDALISM,600
12/01/2006 12:00:00 AM,LARCENY/THEFT,2167
12/01/2006 12:00:00 AM,BURGLARY,580
12/01/2006 12:00:00 AM,VEHICLE THEFT,613
12/01/2006 12:00:00 AM,ARSON,14
12/01/2006 12:00:00 AM,STOLEN PROPERTY,32
01/01/2007 12:00:00 AM,BURGLARY,501
01/01/2007 12:00:00 AM,LARCENY/THEFT,1979
01/01/2007 12:00:00 AM,VEHICLE THEFT,523
01/01/2007 12:00:00 AM,STOLEN PROPERTY,46
01/01/2007 12:00:00 AM,VANDALISM,648
01/01/2007 12:00:00 AM,ARSON,23
02/01/2007 12:00:00 AM,VANDALISM,531
02/01/2007 12:00:00 AM,VEHICLE THEFT,466
02/01/2007 12:00:00 AM,ARSON,12
02/01/2007 12:00:00 AM,LARCENY/THEFT,1643
02/01/2007 12:00:00 AM,STOLEN PROPERTY,33
02/01/2007 12:00:00 AM,BURGLARY,382
03/01/2007 12:00:00 AM,BURGLARY,426
03/01/2007 12:00:00 AM,LARCENY/THEFT,2065
03/01/2007 12:00:00 AM,VANDALISM,682
03/01/2007 12:00:00 AM,ARSON,17
03/01/2007 12:00:00 AM,VEHICLE THEFT,511
03/01/2007 12:00:00 AM,STOLEN PROPERTY,46
04/01/2007 12:00:00 AM,STOLEN PROPERTY,48
04/01/2007 12:00:00 AM,VEHICLE THEFT,408
04/01/2007 12:00:00 AM,BURGLARY,476
04/01/2007 12:00:00 AM,ARSON,20
04/01/2007 12:00:00 AM,LARCENY/THEFT,2018
04/01/2007 12:00:00 AM,VANDALISM,612
05/01/2007 12:00:00 AM,BURGLARY,426
05/01/2007 12:00:00 AM,VANDALISM,643
05/01/2007 12:00:00 AM,ARSON,29
05/01/2007 12:00:00 AM,VEHICLE THEFT,376
05/01/2007 12:00:00 AM,LARCENY/THEFT,2125
05/01/2007 12:00:00 AM,STOLEN PROPERTY,44
06/01/2007 12:00:00 AM,ARSON,21
06/01/2007 12:00:00 AM,BURGLARY,448
06/01/2007 12:00:00 AM,LARCENY/THEFT,2196
06/01/2007 12:00:00 AM,VANDALISM,644
06/01/2007 12:00:00 AM,VEHICLE THEFT,488
06/01/2007 12:00:00 AM,STOLEN PROPERTY,54
07/01/2007 12:00:00 AM,STOLEN PROPERTY,37
07/01/2007 12:00:00 AM,LARCENY/THEFT,2536
07/01/2007 12:00:00 AM,VEHICLE THEFT,633
07/01/2007 12:00:00 AM,VANDALISM,738
07/01/2007 12:00:00 AM,ARSON,29
07/01/2007 12:00:00 AM,BURGLARY,509
08/01/2007 12:00:00 AM,VANDALISM,604
08/01/2007 12:00:00 AM,VEHICLE THEFT,707
08/01/2007 12:00:00 AM,LARCENY/THEFT,2463
08/01/2007 12:00:00 AM,BURGLARY,474
08/01/2007 12:00:00 AM,STOLEN PROPERTY,32
08/01/2007 12:00:00 AM,ARSON,16
09/01/2007 12:00:00 AM,BURGLARY,385
09/01/2007 12:00:00 AM,ARSON,27
09/01/2007 12:00:00 AM,VEHICLE THEFT,692
09/01/2007 12:00:00 AM,VANDALISM,639
09/01/2007 12:00:00 AM,LARCENY/THEFT,2391
09/01/2007 12:00:00 AM,STOLEN PROPERTY,54
10/01/2007 12:00:00 AM,BURGLARY,456
10/01/2007 12:00:00 AM,VEHICLE THEFT,619
10/01/2007 12:00:00 AM,ARSON,18
10/01/2007 12:00:00 AM,LARCENY/THEFT,2292
10/01/2007 12:00:00 AM,VANDALISM,690
10/01/2007 12:00:00 AM,STOLEN PROPERTY,54
11/01/2007 12:00:00 AM,STOLEN PROPERTY,41
11/01/2007 12:00:00 AM,LARCENY/THEFT,2029
11/01/2007 12:00:00 AM,BURGLARY,482
11/01/2007 12:00:00 AM,VEHICLE THEFT,544
11/01/2007 12:00:00 AM,ARSON,23
11/01/2007 12:00:00 AM,VANDALISM,596
12/01/2007 12:00:00 AM,LARCENY/THEFT,2033
12/01/2007 12:00:00 AM,BURGLARY,489
12/01/2007 12:00:00 AM,VANDALISM,539
12/01/2007 12:00:00 AM,ARSON,11
12/01/2007 12:00:00 AM,STOLEN PROPERTY,38
12/01/2007 12:00:00 AM,VEHICLE THEFT,493
01/01/2008 12:00:00 AM,LARCENY/THEFT,2162
01/01/2008 12:00:00 AM,BURGLARY,434
01/01/2008 12:00:00 AM,STOLEN PROPERTY,32
01/01/2008 12:00:00 AM,ARSON,16
01/01/2008 12:00:00 AM,VANDALISM,642
01/01/2008 12:00:00 AM,VEHICLE THEFT,519
02/01/2008 12:00:00 AM,LARCENY/THEFT,1888
02/01/2008 12:00:00 AM,VANDALISM,546
02/01/2008 12:00:00 AM,BURGLARY,382
02/01/2008 12:00:00 AM,VEHICLE THEFT,475
02/01/2008 12:00:00 AM,ARSON,12
02/01/2008 12:00:00 AM,STOLEN PROPERTY,35
03/01/2008 12:00:00 AM,LARCENY/THEFT,2222
03/01/2008 12:00:00 AM,VANDALISM,653
03/01/2008 12:00:00 AM,STOLEN PROPERTY,38
03/01/2008 12:00:00 AM,ARSON,34
03/01/2008 12:00:00 AM,VEHICLE THEFT,527
03/01/2008 12:00:00 AM,BURGLARY,470
04/01/2008 12:00:00 AM,LARCENY/THEFT,2334
04/01/2008 12:00:00 AM,BURGLARY,440
04/01/2008 12:00:00 AM,VEHICLE THEFT,538
04/01/2008 12:00:00 AM,ARSON,20
04/01/2008 12:00:00 AM,STOLEN PROPERTY,31
04/01/2008 12:00:00 AM,VANDALISM,664
05/01/2008 12:00:00 AM,ARSON,18
05/01/2008 12:00:00 AM,BURGLARY,458
05/01/2008 12:00:00 AM,STOLEN PROPERTY,41
05/01/2008 12:00:00 AM,VEHICLE THEFT,510
05/01/2008 12:00:00 AM,LARCENY/THEFT,2169
05/01/2008 12:00:00 AM,VANDALISM,635
06/01/2008 12:00:00 AM,VEHICLE THEFT,427
06/01/2008 12:00:00 AM,BURGLARY,438
06/01/2008 12:00:00 AM,VANDALISM,567
06/01/2008 12:00:00 AM,STOLEN PROPERTY,39
06/01/2008 12:00:00 AM,ARSON,20
06/01/2008 12:00:00 AM,LARCENY/THEFT,1976
07/01/2008 12:00:00 AM,STOLEN PROPERTY,40
07/01/2008 12:00:00 AM,LARCENY/THEFT,2196
07/01/2008 12:00:00 AM,BURGLARY,500
07/01/2008 12:00:00 AM,VANDALISM,601
07/01/2008 12:00:00 AM,ARSON,21
07/01/2008 12:00:00 AM,VEHICLE THEFT,460
08/01/2008 12:00:00 AM,VEHICLE THEFT,510
08/01/2008 12:00:00 AM,ARSON,24
08/01/2008 12:00:00 AM,STOLEN PROPERTY,52
08/01/2008 12:00:00 AM,LARCENY/THEFT,2177
08/01/2008 12:00:00 AM,BURGLARY,473
08/01/2008 12:00:00 AM,VANDALISM,582
09/01/2008 12:00:00 AM,VANDALISM,579
09/01/2008 12:00:00 AM,BURGLARY,542
09/01/2008 12:00:00 AM,LARCENY/THEFT,2224
09/01/2008 12:00:00 AM,ARSON,28
09/01/2008 12:00:00 AM,STOLEN PROPERTY,58
